regionID,constellationID,solarSystemID,solarSystemName,x,y,z,xMin,xMax,yMin,yMax,zMin,zMax,luminosity,border,fringe,corridor,hub,international,regional,constellation,security,factionID,radius,sunTypeID,securityClass
10000001,20000001,30000001,坦欧,-88510792599980600,42369443966878800,-44513525346479600,-88511903148490500,-88509256471760600,42369297927489100,42369645749263900,44513036355892800,44514111689782800,0.01575,1,0,0,1,1,1,None,0.858324069,500007,1323338364984,45041,B
10000001,20000001,30000002,拉什希亚,-103300968263126000,41707503568269900,-29856304129795100,-103301565089828000,-103299528289840000,41707467566727800,41707590413426600,29856173282507000,29856912011988000,0.01282,1,0,1,0,1,1,None,0.751689147,500007,1018399993728,45037,B
10000001,20000001,30000003,埃克葡温姆,-91174141133075200,43938227486247200,-56482824383339900,-91178287363603500,-91173340638605200,43938185719395200,43938444193380400,56481267537910400,56483655715390400,0.6213,1,0,0,1,0,0,None,0.846292352,500007,2473362499136,3799,B
10000001,20000001,30000004,加尔克,-93675926352178800,50604244962328800,-28403529106921700,-93677382085044700,-93675486150896600,50604201734808700,50604387914744800,28403308300704900,28406851125344300,0.3461,1,0,1,0,1,1,None,0.817000531,500007,1771412319698,45030,B
10000001,20000001,30000005,萨斯塔,-94782157961997600,43126247352903200,-31896707679918000,-94782866241535500,-94777738348823600,43126190605720800,43126597636738800,31892607357474000,31896947011689000,0.02403,1,0,0,1,0,0,None,0.814336728,500007,2563946355912,45040,B
10000001,20000001,30000006,扎得,-84792151138856100,52313455798179200,-57073934529882300,-84793773315320000,-84790304431444000,52313243548626300,52313642323674000,57073253488129400,57075591223245900,0.02324,1,0,1,0,0,0,None,0.864229153,500007,1734441937976,45031,B
10000001,20000001,30000007,耶泽尔,-90367509013110200,53447700930943200,-49040399037769900,-90368455589897600,-90365860977341600,53447587319198200,53447898494476000,49039836463312800,49040669843783000,0.01469,0,0,0,1,0,0,None,0.906555511,500007,1297306278056,3800,B
10000001,20000001,30000008,尼尔比,-91576103536388400,57332802739327600,-55255057964526300,-91579534302267600,-91574341925251100,57332775890501900,57332816522733900,55252219447897200,55259653044695500,0.03981,1,0,0,1,0,0,None,0.882115715,500007,3716798399124,45039,B
10000001,20000002,30000009,苏马,-84094731140215200,69205928804160700,-75226052138828800,-84095782483213100,-84092995295928000,69205920050711600,69205943271846000,75225464050781500,75229135709334800,0.01479,0,1,0,0,0,0,None,0.577819482,500007,1835829276688,45039,B1
10000001,20000002,30000010,赤达夫,-80588856520120800,61645557287376800,-79770931668461900,-80590207811444100,-80584539285184800,61645378830638600,61646127437224000,79769194381150400,79772810227654800,0.07498,0,0,0,1,0,0,None,0.539052013,500007,2834263129672,8,B1
10000001,20000002,30000011,舍勒拉,-69575463334855200,57122325440514700,-80659835202844600,-69575636549884600,-69574314401968300,57122244402671000,57122337658314400,80657805639471100,80660396791719600,0.0138,1,0,1,0,0,0,None,0.456959355,500007,1295576124296,45040,B1
10000001,20000002,30000012,埃萨伯纳,-88787078299773200,57530354513983600,-96309075103911500,-88791397390007200,-88786201909693400,57530255526273200,57530842192169500,96307390631301700,96313541534761100,0.7113,1,0,1,0,0,0,None,0.322884273,500007,3075451729664,3799,B2
10000001,20000002,30000013,昂苏,-81778742628362000,60252693661956800,-86635426626176700,-81778794870618000,-81775151649602800,60252536029999900,60252695963483200,86629107367242500,86636044338568800,0.9844,0,0,0,1,0,0,None,0.442816633,500007,3468485663152,45047,B2
10000001,20000002,30000014,沙玛希,-77750709738421100,71722533435110300,-87922010890003900,-77752375313506200,-77748220595916800,71722505254969400,71722575240330400,87919461416316000,87928237639952400,0.569,1,0,0,1,0,0,None,0.355242291,500007,4388111818136,3797,B2
10000001,20000002,30000015,森达雅,-75035885475239800,47720998612000000,-95172408294045200,-75036302944088800,-75034909947496900,47720939042647100,47721024107019200,95169889007283300,95175559279052800,0.08104,1,0,0,1,0,0,None,0.293932972,500007,2835135884784,45037,B2
10000001,20000002,30000016,纳泽格特,-83631155296696800,63723785397160300,-89813789948513900,-83631552142160000,-83628790224378300,63723771871163600,63723864808341900,89813616892692800,89816445093532000,0.01396,0,1,0,0,0,0,None,0.391497056,500007,1414100419584,45039,B2
10000001,20000003,30000017,弗茨查格,-64098583968529500,41271973465565200,-101139230377519000,-64100883467061800,-64092617515336800,41271618432199800,41272899328770000,101138522286680000,101143066585587000,0.7871,0,0,0,1,0,0,None,0.17222856,500007,4132975862416,3801,B3
10000001,20000003,30000018,卡兹纳,-70142424691246200,38488582153190400,-96720410106924400,-70146352582011000,-70141340342553200,38488413727223500,38489192249684300,96717292294777400,96720853302116000,1.501,1,0,0,1,0,0,None,0.231262625,500007,2506119728892,3799,B3
10000001,20000003,30000019,波迪恩,-58709857801616300,26044509386392200,-101528995159068000,-58710367381959100,-58709380756752800,26044417015128700,26044595861270300,101527134943692000,101532375865627000,0.07842,0,1,0,0,0,0,None,0.109704973,500007,2620460967184,45037,B3
10000001,20000003,30000020,里尔玛的,-72855380319923900,52909926114435800,-108165273935480000,-72858106676096100,-72847571590350300,52908524213109600,52910418067027800,108164428690670000,108170125189104000,1.172,0,1,0,0,0,0,None,0.160449193,500007,5267542872992,3797,B3
10000070,20000788,30000021,库哈拉赫,-74379810853747800,32538969531086900,-100531188490154000,-74384595923122000,-74377722856504800,32538644411469600,32539111294772300,100529648275428000,100540345633738000,2.566,0,0,1,0,0,0,None,-1,500026,5348679154648,56098,B3
10000001,20000003,30000022,杰尼勒布,-60839427954196600,33031790950289300,-105458726104476000,-60846589878312800,-60834801964736000,33031148123022600,33032207063566300,105454773421070000,105462448629452000,0.1426,0,0,1,0,0,0,None,0.113839957,500007,5893956788464,45032,B3
10000001,20000004,30000023,夫维希,-81553344112251200,50451257411607400,-51154633880983600,-81554719363490800,-81553223632203500,50451104540208800,50451270856471100,51150013792930400,51155952361428800,1.08,1,0,0,1,0,0,None,0.869394349,500007,2969284249148,45034,B
10000001,20000004,30000024,加冷德,-77479080911142800,51134179715466800,-47885233482498200,-77479736282401500,-77478874101251600,51134147110880400,51134283002162800,47884604839563200,47887530200825100,0.01944,0,0,0,1,0,0,None,0.840834548,500007,1462680630932,45031,B
10000001,20000004,30000025,拉谢尔,-74181058770878300,50998790158899600,-44291930310919900,-74183273721831200,-74180375768494400,50998574081360200,50998856788276000,44287302661417600,44293392527686800,0.1276,0,0,0,1,0,0,None,0.803265994,500007,3044933134604,7,B
10000001,20000004,30000026,厄尔戴斯,-66874602332344000,47305539439210600,-41604451379855100,-66879408587107900,-66872843811045000,47305174233624600,47305673060244000,41600708274942400,41610186873257900,0.2079,0,0,0,1,0,0,None,0.695564173,500007,4739299157720,3798,B1
10000001,20000004,30000027,帕萨沙,-72183885785340300,42984409865412600,-45081203993618400,-72187475500435200,-72183514569166200,42984382407078800,42984412715680300,45079304931331000,45081426788826700,0.4201,0,0,0,1,0,0,None,0.749913289,500007,1980465634544,45033,B1
10000001,20000004,30000028,伊什塔,-71223584228662000,50752785941188800,-46482687207261000,-71227043048865900,-71217009936567500,50751495459745600,50753463796187000,46482340943580400,46484246018352600,0.1457,1,0,0,1,0,0,None,0.768432631,500007,5016556149184,45032,B
10000001,20000004,30000029,拉彻列斯,-61418700963258200,39508226756646300,-36346375132950800,-61420475251585200,-61418700663658200,39508226457046300,39508280978408800,36346248678604000,36347841445812000,0.1283,0,0,1,0,0,0,None,0.573051227,500007,887293963556,45047,B1
10000001,20000004,30000030,卡斯拉斯,-59932279484658000,43233411197129200,-41564724505396600,-59932402213803400,-59930489393074800,43233081024525000,43233433834058700,41562713143121600,41565360117674700,0.1629,1,0,0,1,0,0,None,0.573075677,500007,1323487276548,45030,B1
10000001,20000005,30000031,莫哈瑟,-80931368391397600,26612451671200700,-26174170930793500,-80931837139551800,-80930214051728400,26612382705341400,26612620923956400,26173234348555400,26175801654655900,0.01956,0,0,1,0,0,0,None,0.681783438,500007,1283653050240,7,B1
10000001,20000005,30000032,哈斯那利,-87895710227609500,39062466382135400,-26800575462533400,-87897713531994400,-87894126356762400,39062449183065000,39062488136458200,26800451180037600,26802251912518900,0.07863,1,0,0,1,0,0,None,0.798187617,500007,1793587616000,3797,B
10000001,20000005,30000033,瑞蒂玛,-86669709447701700,30253891492190200,-23109218639605200,-86671225467868400,-86663806353775600,30253169597607600,30254078146926400,23108674216347200,23111736228151000,0.4925,0,0,1,0,0,0,None,0.753919952,500007,3709557046400,45036,B
10000001,20000005,30000034,阿克兹,-80605644803163800,36589580336539200,-22409023277357100,-80609163797927100,-80605329728513500,36589537572663500,36590057945538300,22406313559613700,22409251534718800,0.06291,0,1,0,0,0,0,None,0.78212291,500007,1917034706800,45032,B
10000001,20000005,30000035,尼曼巴尔,-78972929108395100,22021695733766400,-30437697744700300,-78974131949151000,-78969435655036000,22021057088713300,22021915627483600,30436115280282000,30438466710869400,0.1721,1,0,0,1,0,0,None,0.59405057,500007,2348147057528,45047,B1
10000001,20000005,30000036,伊什农,-69082798590932000,15194641371952600,-28780877400953400,-69089533613137600,-69081769766190800,15194614362048100,15194818187551900,28780199606184800,28785266289061300,2.257,0,0,1,0,0,0,None,0.424718182,500007,3881923473336,3801,B2
10000001,20000005,30000037,尤普林古尔,-66223420001743000,16326050663711200,-25730407026952500,-66229063366368600,-66223131966336200,16324942400831900,16326107229697100,25722512497311900,25730463503132500,1.063,1,0,1,0,1,1,None,0.422069315,500007,3975502910314,6,B2
10000001,20000006,30000038,多泽,-62127277592377600,48759951230412000,-77061875158752000,-62127754165912800,-62126039906992200,48759932220076800,48760000600426000,77060552995571300,77062218978977900,0.03159,1,0,0,1,0,0,None,0.423728855,500007,857129460388,45037,B2
10000001,20000006,30000039,巴宇卡,-59779356765873900,39123118951290300,-73224273778575500,-59784139792647200,-59777551677311600,39122986693461800,39123471026820700,73221280684357600,73226184481535100,1.563,0,0,0,1,0,0,None,0.400722037,500007,3294057667732,10,B2
10000001,20000006,30000040,乌兹斯图恩,-57893084293713400,45833021879997800,-74838023569004400,-57894315490518400,-57890108516821100,45832982796284600,45833115721323400,74836721212821900,74838092429432400,0.02003,0,0,0,1,0,0,None,0.390645601,500007,2103486848724,45032,B2
10000001,20000006,30000041,巴尔士尔,-59500536638628800,30602000215019500,-70450499247601500,-59500612499943200,-59499329578206800,30601911106546600,30602005874279800,70450459239084300,70454679996837100,0.03449,0,0,1,0,0,0,None,0.364087747,500007,2110378876364,45040,B2
